1,홍길동,61,83,51,195,65,97
2,유관순,51,83,90,224,74.6666666667,82
3,이순신,54,97,60,211,70.3333333333,98
4,강감찬,66,100,76,242,80.6666666667,67
5,김구,85,64,77,226,75.3333333333,86
6,김유신,82,57,94,233,77.6666666667,53
7,홍길자,90,80,97,267,89,90
8,홍길순,50,78,71,199,66.3333333333,75
9,길동스,80,93,74,247,82.3333333333,78
10,관순스,80,52,83,215,71.6666666667,55
11,순신스,62,96,95,253,84.3333333333,83
12,Gilbe,95,68,66,229,76.3333333333,70
13,Torr,50,56,71,177,59,61
14,Neely,90,88,67,245,81.6666666667,53
15,Leonora,73,76,77,226,75.3333333333,84
16,Micaela,88,76,50,214,71.3333333333,67
17,Lorelle,58,97,76,231,77,53
18,Sara-ann,65,84,94,243,81,99
19,Mommy,56,74,93,223,74.3333333333,55
20,Ancell,55,62,97,214,71.3333333333,94
21,Findley,66,89,50,205,68.3333333333,87
22,Gerianne,90,94,53,237,79,72
23,Reggie,66,77,84,227,75.6666666667,91
24,Joelly,86,80,72,238,79.3333333333,80
25,Nannie,76,59,87,222,74,91
26,Natka,88,85,90,263,87.6666666667,97
27,Feliza,68,67,76,211,70.3333333333,100
28,Kriste,55,88,67,210,70,88
29,Tobie,95,54,88,237,79,89
30,Lyn,89,94,60,243,81,90
31,Bartolomeo,65,92,99,256,85.3333333333,72
32,Elberta,52,78,82,212,70.6666666667,65
33,Rebekah,93,71,67,231,77,84
34,Gamaliel,63,82,55,200,66.6666666667,53
35,Barri,95,65,54,214,71.3333333333,63
36,Essy,70,81,95,246,82,85
37,Opalina,93,94,55,242,80.6666666667,56
38,Chelsea,76,50,59,185,61.6666666667,70
39,Moina,94,66,64,224,74.6666666667,81
40,Elladine,75,94,55,224,74.6666666667,99
41,Rufus,53,87,71,211,70.3333333333,96
42,Barbabas,57,99,86,242,80.6666666667,62
43,Lorilyn,82,87,54,223,74.3333333333,67
44,Ulick,66,93,100,259,86.3333333333,62
45,Chris,80,96,95,271,90.3333333333,93
46,Jase,52,93,64,209,69.6666666667,58
47,Thadeus,89,53,81,223,74.3333333333,85
48,Karine,64,89,99,252,84,71
49,Batsheva,69,61,87,217,72.3333333333,89
50,Tildi,52,60,86,198,66,86
